기능명,분류,차감방식,최소크레딧,최대크레딧,네이버API호출,OpenAI API호출,OpenAI토큰(추정),평균소요시간,서버부하,주요변수,비고
플레이스 진단,고정,기능 실행 1회,5,5,2-3회,0,0,3-5초,낮음,없음,GraphQL 1회 + HTML 파싱 1-2회
플레이스 순위조회,동적,순위 기반,3,10,1-16회,0,0,2-10초,중간,순위(1-300+),1-20위: 3cr / 21-100위: 5cr / 101-300위: 8cr / 300+: 10cr
타겟키워드 추출,동적,조합 수,12,50+,6-400회+,0,0,10-60초,높음,조합 수,10개 조합: 12cr / 50개: 20cr / 100개: 30cr
키워드 순위추적(자동수집),동적,순위 × 횟수,3,30/일,1-16회/키워드,0,0,2-10초/회,중간,수집횟수(1-3회/일),하루 3회 설정 시 월 90회 실행
키워드 순위추적(수동),동적,수동 실행 시,3,10,1-16회,0,0,2-10초,중간,순위,등록 자체는 무료. 수집 버튼만 차감
대표키워드 분석,고정,기능 실행 1회,15,15,16회,0,0,5-10초,중간,없음,검색 1회 + GraphQL 15회
리뷰 분석,동적,리뷰 수,10,무제한,페이지네이션,리뷰수+1,리뷰당 700 + 요약 2000,1-5분,매우 높음,리뷰 개수,10개: 10cr / 50개: 15cr / 100개: 25cr / 500개: 105cr
AI 리뷰답글 생성,동적,답글 수,1,무제한,0,1회/답글,1300/답글,1-3초/개,중간,답글 개수,1개당 1cr
AI 리뷰답글 게시,동적,답글 수,2,무제한,0,0,0,15-30초/개,매우 높음,게시 개수,Selenium 사용. 1개당 2cr
경쟁매장 분석,동적,경쟁사 수,13,30,경쟁사수+2,1회,4000,10-30초,높음,경쟁사 수(5-20개),5개: 13cr / 10개: 15cr / 20개: 20cr
업체소개글 생성,고정,기능 실행 1회,5,5,0,1회,4000,3-5초,중간,없음,max_tokens: 3000
찾아오는길 생성,고정,기능 실행 1회,3,3,0,1회,2000,2-4초,낮음,없음,max_tokens: 1500
키워드 검색량조회,무료,-,0,0,1회,0,0,1-2초,낮음,없음,네이버 공식 API (무료)
